,track_name,ひらがな名,image_urls,view_count,喜び,喜びスコアの理由,信頼,信頼スコアの理由,恐れ,恐れスコアの理由,驚き,驚きスコアの理由,悲しみ,悲しみスコアの理由,嫌悪,嫌悪スコアの理由,怒り,怒りスコアの理由,期待,期待スコアの理由,release_date_y
10,オレンジな満月,おれんじなまんげつ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",86188,40,歌詞には希望や願いが込められており、特に満月や幸せを願う部分に喜びが感じられるが、全体的には控えめ。,30,歌詞には信頼を求める願望があるが、実際の信頼感はあまり強く表現されていない。,50,不安定な気持ちや、帰ってこないボールなど、恐れや不安が歌詞に表現されている。,20,驚きの要素は少なく、歌詞はむしろ日常的な感情や状況を描写している。,60,涙やため息、歌えない鳥など、悲しみや切なさが強く表現されている。,10,嫌悪感はほとんどなく、むしろ感傷的な感情が中心。,15,怒りの感情はほとんど表現されておらず、むしろ内向的な感情が多い。,55,未来への希望や願いが繰り返し表現されており、期待感が感じられる。,1999/4/21
11,歌姫,うたひめ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']""]",125024,40,歌詞には前向きな要素や愛情が含まれているが、全体的には悲しみや葛藤が強調されている。,50,歌詞には他者を暖めるための意志や、神様への問いかけが含まれており、信頼の要素が見られる。,60,歌詞には臆病さや不安、届かない想いが強調されており、恐れの感情が感じられる。,30,驚きの要素はあまり強くなく、むしろ感情の深さや葛藤が中心となっている。,80,泣いても叫んでも届かない想いが繰り返され、全体的に悲しみが強く表現されている。,20,嫌悪の感情はあまり強調されておらず、むしろ内面的な葛藤や悲しみが中心である。,30,怒りというよりは、届かない想いに対する苛立ちや葛藤が表現されている。,50,前向きに進む意志や、神様への問いかけに期待が込められているが、悲しみがそれを上回っている。,1999/4/21
12,私生活,しせいかつ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",79547,70,歌詞には愛情や親密さを表現する部分が多く、特にキスや抱きしめるといった行動が喜びを示している。,60,相手に対する強い愛情と忠誠心が示されており、信頼感が感じられる。,40,理性を脱ぎ捨てることや、間違ったことをしているつもりはないという表現に、潜在的な不安や恐れが含まれている。,30,驚きの要素は少ないが、急いでキスをする場面に多少の驚きが含まれている。,50,淋しさを紛らわすために行動する部分や、悲しんでいられないという表現に悲しみが感じられる。,20,嫌悪感はあまり感じられないが、理性を脱ぎ捨てることに対する内面的な葛藤が少し含まれている。,10,怒りの要素はほとんどなく、全体的に愛情が強調されている。,60,相手を一人占めしたいという強い願望や、愛情を表現する行動に期待感が表れている。,1999/4/21
13,相合傘,あいあいがさ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01357_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa36ed0d6261.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa36ed0d649a.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e2f950cc5.jpg']""]",107534,20,歌詞全体に喜びの要素は少なく、むしろ切ない感情が強調されているため、喜びのスコアは低い。,30,相合傘の中での期待や願望が表現されているが、信頼が確立されているわけではないため、スコアは低め。,40,「涙に灯る青いバラ」や「届く事のない想い」など、不安や恐れを感じさせる表現が含まれている。,25,「少し目があっただけで射抜かれた」という表現に驚きの要素があるが、全体的には驚きの感情は少ない。,80,「涙に灯る青いバラ」や「届く事のない想い」など、悲しみを強く感じさせる表現が多く含まれている。,20,嫌悪感を直接的に表現する部分は少ないが、切ない感情の中にわずかに含まれている可能性がある。,15,怒りを直接的に表現する部分はほとんどなく、スコアは低い。,50,「あなたであるように望みたくして」など、期待や願望が表現されているため、スコアは中程度。,1999/8/4
14,親指の使い方,おやゆびのつかいかた,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01357_240.jpg']""]",101355,20,歌詞全体に幸せや喜びを感じる要素は少なく、むしろ失った幸せを振り返る内容が多い。,30,信頼というよりも、過去の関係に対する未練や後悔が強調されている。,50,失ったことへの恐れや、再び同じような状況になることへの不安が感じられる。,10,驚きの要素はほとんどなく、むしろ予想通りの感情の流れが続いている。,80,失った愛や後悔、忘れられない思いが強く表現されており、全体的に悲しみが支配的。,40,自分自身への嫌悪感や、状況に対する不満が感じられる部分がある。,20,怒りというよりも、自己嫌悪や後悔の感情が強く、直接的な怒りは少ない。,15,未来への期待感はほとんどなく、過去の出来事に対する後悔が中心となっている。,1999/8/4
15,花火,はなび,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01357_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39b5644039.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39b5644279.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9da5f625ce.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b883e.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b8a24.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",1175959,40,歌詞には恋愛の喜びや楽しさが表現されている部分があるが、全体的には切なさや悲しみが強調されている。,30,歌詞には信頼や安心感を示す要素が少なく、むしろ不安や迷いが感じられる。,50,夢が覚めた後の悲しみや、恋愛に対する不安が表現されており、恐れの感情が含まれている。,20,驚きの要素はあまり強くなく、むしろ予測可能な感情の流れが多い。,70,夢が覚めた後の悲しみや、涙を流すシーンが多く、全体的に切ない感情が強調されている。,10,嫌悪感を示す要素はほとんどなく、むしろ感情の葛藤が中心となっている。,20,怒りの感情は直接的には表現されていないが、恋愛のもどかしさや疲れに対する苛立ちが少し感じられる。,40,恋愛に対する期待や希望が感じられる部分もあるが、全体的には切なさが勝っている。,1999/8/4
16,恋人,こいびと,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01391_240.jpg']""]",151568,60,歌詞には夕暮れの美しさに生きる喜びを感じているという表現があり、過去の幸せな時間を思い出している部分があるため、喜びのスコアは中程度です。,50,過去の関係に対する信頼感や、相手の幸せを願う気持ちが表現されているため、信頼のスコアは中程度です。,30,恐れの感情はあまり強く表現されていませんが、過去の関係が戻らないことへの不安が少し感じられます。,20,驚きの感情は特に表現されていないため、スコアは低めです。,70,別れの悲しみや、過去の関係が戻らないことへの切なさが強く表現されているため、悲しみのスコアは高めです。,20,嫌悪の感情は特に表現されていないため、スコアは低めです。,30,怒りの感情はあまり強く表現されていませんが、過去の関係に対するわずかな不満が感じられます。,40,相手の幸せを願う気持ちや、過去の関係が良いものであったことを思い出す部分があるため、期待のスコアは中程度です。,1999/11/17
17,桃色,ももいろ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01391_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39b5644039.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39b5644279.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9da5f625ce.jpg']""]",171671,70,歌詞には愛情や幸福感が表現されており、特に相手と一緒にいることへの喜びが強調されています。,60,相手に自分を委ねる姿勢や、共に歩幅を合わせて生きたいという願望が信頼感を示しています。,40,相手に置いて行かれることや、愛が報われないことへの不安が感じられます。,30,驚きの要素は少ないですが、感情の高まりや予期しない愛の強さに対する驚きが少し含まれています。,50,相手の気持ちが自分に向いていないことや、愛が報われない可能性に対する悲しみが表現されています。,20,嫌悪感はほとんどありませんが、少しの不満や苛立ちが感じられる部分があります。,25,怒りはあまり表現されていませんが、愛が報われないことへの苛立ちが少し含まれています。,65,相手との未来や愛が実ることへの期待感が強く表現されています。,1999/11/17
18,カブトムシ,かぶとむし,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01391_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39b5644039.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39b5644279.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9da5f625ce.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b883e.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b8a24.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",1850606,70,歌詞には甘い匂いや安らぎ、幸せに思える瞬間が描かれており、喜びの感情が強く表現されています。,60,歌詞の中で、相手との関係が大切であることが示されており、信頼感が感じられます。,40,相手が死んでしまうことや、年老いていくことへの恐れが表現されていますが、全体的には強調されていません。,30,流れ星やメリーゴーランドの描写に驚きの要素がありますが、全体的には控えめです。,50,強い悲しいことが心に残ることや、相手の死を想像することが悲しみとして表現されています。,10,歌詞には嫌悪感を示す要素はほとんどなく、全体的にポジティブな感情が多いです。,10,怒りを示す直接的な表現はなく、感情の中では最も低いスコアです。,50,未来への期待や、今を大切にする気持ちが表現されており、期待感が感じられます。,1999/11/17
19,アイツを振り向かせる方法,あいつをふりむかせるほうほう,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01413_240.jpg']""]",143210,70,歌詞には、好きな人を振り向かせたいという前向きな目標や、ドキドキやワクワクといった感情が表現されており、喜びの要素が強く感じられます。,60,好きな人を待ち続けるという決意や、後悔を嫌う姿勢から、自己信頼や相手への信頼感が感じられます。,40,振られた過去や、素直になれない自分への不安が表現されており、恐れの感情も少し含まれています。,30,驚きの感情はあまり強く表現されていませんが、ドキドキやワクワクといった感情が少し驚きに関連しています。,50,過去に振られた経験や、素直になれない自分への葛藤が悲しみとして表現されています。,20,嫌悪の感情はあまり強くありませんが、過去の自分への苦笑いや後悔を嫌う気持ちが少し含まれています。,10,怒りの感情はほとんど表現されていませんが、過去の自分への苛立ちがわずかに感じられます。,80,好きな人を振り向かせたいという強い願望や、未来への期待感が非常に強く表現されています。,2000/2/17
20,more&more,もあ&もあ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01413_240.jpg']""]",68200,85,歌詞には愛や幸せ、笑い、未来への期待が多く含まれており、全体的にポジティブな感情が表現されています。,80,二人の関係性や未来に対する信頼感が歌詞に表れており、特に『I love you』というフレーズが信頼を強調しています。,10,歌詞には恐れを感じさせる要素はほとんどなく、むしろ安心感が強調されています。,30,『突然のスコール』や『グットタイミングのKiss』といった予期しない出来事が驚きの要素として含まれています。,5,歌詞全体がポジティブであり、悲しみを感じさせる要素はほとんどありません。,5,嫌悪を感じさせる要素は歌詞には含まれておらず、むしろ愛情や幸福感が強調されています。,5,怒りを示す要素は歌詞にはなく、全体的に穏やかで愛に満ちた内容です。,90,未来への期待や希望が強く表現されており、『これからの二人の未来に』というフレーズが期待感を高めています。,2000/2/17
